id,user_id,type,title,description,location,price,status
1,2,furniture,Study Desk with Chair,"Good condition, moving out","Dorm B, Block 3, IIT Delhi",Free,available
2,1,room,Room available for sharing,"Private room in 3BHK, near IIT Delhi campus","Hauz Khas, New Delhi",₹15000/month,available
3,3,electronics,Laptop Stand,"Adjustable height, barely used","Hostel Room 405, IIT Delhi",₹500,available
4,4,furniture,Bookshelf,"Wooden, 5 shelves, perfect for textbooks","Boys Hostel, IIT Delhi",₹800,available
5,5,room,Shared apartment near campus,"2BHK, 2 rooms available for girls, furnished","Hauz Khas, New Delhi",₹12000/month,available
6,6,furniture,Double bed with mattress,"Queen size, good quality, includes bed frame","Near IIT Delhi campus",₹3000,available
7,7,electronics,Arduino Starter Kit,"Complete with sensors and components","Mechanical Dept, IIT Delhi",₹2500,available
8,8,textbook,Engineering Mathematics Vol. 1,"Brand new, never used","IIT Delhi Library",₹400,available
9,9,furniture,Study Table with Lamp,"Perfect for late night studies","Girls Hostel, IIT Delhi",₹600,available
10,10,electronics,DSLR Camera,"Canon model, used for photography club","IIT Delhi Campus",₹18000,Negotiable
11,1,electronics,Python Programming Books,"Complete set of 5 books, includes Django","Computer Science Dept, IIT Delhi",₹1000,available
12,5,furniture,Yoga Mat and Dumbbells,"Light weights, good for fitness","Yoga Studio, IIT Delhi",Free,available
